step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,balanceDeltaOrig,balanceDeltaDest,errorBalanceOrig,errorBalanceDest,isOrigZeroBalance,isDestZeroBalance,logAmount,transactionDay,transactionHour
181,CASH_IN,327847.33,C1833538636,875435.34,1203282.67,C343863869,2437466.93,2109619.6,0,0,327847.33,-327847.3300000001,655694.66,655694.6600000001,False,False,12.7003063718859,7,13
156,CASH_OUT,27061.31,C599134630,0.0,0.0,C2015098741,72744.19,99805.5,0,0,0.0,27061.31,27061.31,0.0,True,False,10.20589726393498,6,12
257,PAYMENT,22903.92,C472556090,309024.59,286120.67,M1121919248,0.0,0.0,0,0,-22903.92000000004,0.0,-5.820766091346741e-11,22903.92,False,True,10.039107013627556,10,17
492,PAYMENT,19724.9,C882869222,0.0,0.0,M389829349,0.0,0.0,0,0,0.0,0.0,19724.9,19724.9,True,True,9.889687772049603,20,12
261,PAYMENT,2722.77,C1805567347,0.0,0.0,M1872202087,0.0,0.0,0,0,0.0,0.0,2722.77,2722.77,True,True,7.909772229049677,10,21
258,PAYMENT,4180.39,C1088513982,4061.0,0.0,M1651482838,0.0,0.0,0,0,-4061.0,0.0,119.39000000000031,4180.39,False,True,8.338399006126167,10,18
274,CASH_IN,208475.43,C569616691,1193931.71,1402407.14,C256420719,2335294.13,2126818.7,0,0,208475.42999999996,-208475.4299999997,416950.8599999999,416950.8599999999,False,False,12.247581268267313,11,10
15,CASH_OUT,496214.25,C1696607017,2090860.27,1594646.02,C1157460567,784329.79,1042394.85,0,0,-496214.25,258065.05999999997,0.0,238149.1900000001,False,False,13.114765083342744,0,15
546,PAYMENT,7467.31,C633927010,0.0,0.0,M1525948361,0.0,0.0,0,0,0.0,0.0,7467.31,7467.31,True,True,8.918424014244643,22,18
10,CASH_IN,26657.92,C757077981,24687.0,51344.92,C1488327317,145256.84,118598.92,0,0,26657.92,-26657.92,53315.84,53315.84000000001,False,False,10.19087908278461,0,10
177,CASH_IN,104541.71,C1573046247,1652511.23,1757052.94,C1963218058,1195506.88,1090965.18,0,0,104541.70999999996,-104541.69999999995,209083.41999999995,209083.40999999992,False,False,11.557350975022556,7,9
406,PAYMENT,22143.21,C154984801,41748.0,19604.79,M364017839,0.0,0.0,0,0,-22143.21,0.0,0.0,22143.21,False,True,10.005331341753932,16,22
376,CASH_IN,49257.27,C984536695,5222675.59,5271932.86,C124364118,418898.3,369641.03,0,0,49257.27000000048,-49257.26999999996,98514.54000000004,98514.53999999998,False,False,10.80483255128518,15,16
134,CASH_OUT,208903.2,C589953327,17604.0,0.0,C1491503679,355842.52,564745.72,0,0,-17604.0,208903.19999999995,191299.2,0.0,False,False,12.249631052656095,5,14
345,PAYMENT,14617.91,C2112126744,175832.62,161214.71,M30820925,0.0,0.0,0,0,-14617.910000000003,0.0,0.0,14617.91,False,True,9.59007117512082,14,9
202,PAYMENT,16421.62,C1297894060,9044.0,0.0,M1264429353,0.0,0.0,0,0,-9044.0,0.0,7377.619999999999,16421.62,False,True,9.706414931788188,8,10
286,CASH_OUT,149117.77,C634439523,0.0,0.0,C502407375,175288.53,324406.3,0,0,0.0,149117.77,149117.77,0.0,True,False,11.912498381494842,11,22
130,CASH_OUT,93187.15,C1489860972,0.0,0.0,C266171809,912509.92,1005697.07,0,0,0.0,93187.1499999999,93187.15,1.1641532182693479e-10,True,False,11.442375846667208,5,10
403,CASH_OUT,81203.84,C1731207054,0.0,0.0,C1363789994,278641.45,359845.29,0,0,0.0,81203.83999999997,81203.84,5.820766091346741e-11,True,False,11.304730130284735,16,19
225,CASH_OUT,297567.26,C238141898,20812.0,0.0,C478996185,136986.89,434554.15,0,0,-20812.0,297567.26,276755.26,0.0,False,False,12.603398923027408,9,9
256,PAYMENT,2417.77,C2040299426,59106.0,56688.23,M801229895,0.0,0.0,0,0,-2417.769999999997,0.0,0.0,2417.77,False,True,7.791014425477757,10,16
330,PAYMENT,3227.2,C251085802,14432.0,11204.8,M940387582,0.0,0.0,0,0,-3227.2000000000007,0.0,0.0,3227.2,False,True,8.07967998533918,13,18
277,CASH_OUT,16534.27,C2086554013,18295.0,1760.73,C1639142182,94676.57,111210.83,0,0,-16534.27,16534.259999999995,0.0,0.0100000000093132,False,False,9.71325095428167,11,13
203,PAYMENT,8608.48,C2024443867,157.0,0.0,M515638372,0.0,0.0,0,0,-157.0,0.0,8451.48,8608.48,False,True,9.060619200708269,8,11
205,CASH_OUT,130879.06,C344166330,0.0,0.0,C388282257,134574.18,265453.24,0,0,0.0,130879.06,130879.06,0.0,True,False,11.782036610271676,8,13
321,CASH_OUT,463283.77,C220883846,28918.0,0.0,C596838550,0.0,463283.77,0,0,-28918.0,463283.77,434365.77,0.0,False,False,13.046097197995865,13,9
16,CASH_OUT,102275.08,C1803268605,0.0,0.0,C811694767,373600.77,475875.84,0,0,0.0,102275.07,102275.08,0.0100000000093132,True,False,11.535431102507184,0,16
259,PAYMENT,7054.54,C957863935,199809.0,192754.46,M1323897017,0.0,0.0,0,0,-7054.540000000008,0.0,0.0,7054.54,False,True,8.861568402817724,10,19
183,PAYMENT,22681.31,C166637966,0.0,0.0,M1915836957,0.0,0.0,0,0,0.0,0.0,22681.31,22681.31,True,True,10.029340604506991,7,15
479,CASH_OUT,286803.74,C1119901457,10853.34,0.0,C862176309,7133080.79,7419884.53,0,0,-10853.34,286803.7400000002,275950.4,0.0,False,False,12.566556914767682,19,23
163,TRANSFER,186746.13,C1357012871,311251.0,124504.87,C1654145643,199234.39,385980.52,0,0,-186746.13,186746.13,0.0,0.0,False,False,12.137510734737749,6,19
122,CASH_OUT,120138.57,C1307703746,2991.09,0.0,C549350250,406442.26,526580.83,0,0,-2991.09,120138.56999999996,117147.48,1.1641532182693479e-10,False,False,11.6964094292401,5,2
236,PAYMENT,10157.25,C262523758,0.0,0.0,M152222839,0.0,0.0,0,0,0.0,0.0,10157.25,10157.25,True,True,9.226041462202266,9,20
20,PAYMENT,11820.38,C2081756956,23328.0,11507.62,M1779400527,0.0,0.0,0,0,-11820.38,0.0,0.0,11820.38,False,True,9.377665035414225,0,20
238,CASH_IN,200550.62,C1116358710,3053288.97,3253839.6,C1621231155,2082625.5,1882074.88,0,0,200550.6299999999,-200550.6200000001,401101.25,401101.2400000002,False,False,12.208826948951662,9,22
276,CASH_OUT,145039.85,C700439868,63469.0,0.0,C1475493812,0.0,145039.85,0,0,-63469.0,145039.85,81570.85,0.0,False,False,11.884770705863849,11,12
156,CASH_OUT,16654.82,C394587998,0.0,0.0,C718007942,2087319.54,2103974.37,0,0,0.0,16654.830000000075,16654.82,-0.0100000002421438,True,False,9.720514983879928,6,12
8,CASH_OUT,35025.56,C1821409160,0.0,0.0,C1323741703,106238.48,1966850.36,0,0,0.0,1860611.88,35025.56,-1825586.32,True,False,10.463861909827909,0,8
328,TRANSFER,922143.84,C1847805632,0.0,0.0,C1114001063,10000000.0,10922143.84,0,0,0.0,922143.84,922143.84,0.0,True,False,13.734457583476363,13,16
352,CASH_OUT,4914.19,C1384026499,0.0,0.0,C438270839,585382.52,590296.71,0,0,0.0,4914.189999999944,4914.19,0.0,True,False,8.50008568900602,14,16
306,PAYMENT,33119.84,C1303736965,37702.0,4582.16,M1069088515,0.0,0.0,0,0,-33119.84,0.0,0.0,33119.84,False,True,10.40791797049642,12,18
14,CASH_OUT,430196.83,C782759132,901584.0,471387.17,C933249677,1101159.95,1633678.57,0,0,-430196.83,532518.6200000001,0.0,-102321.79000000004,False,False,12.97200045163754,0,14
18,PAYMENT,21724.23,C906060809,52148.73,30424.5,M1106354342,0.0,0.0,0,0,-21724.230000000003,0.0,-7.275957614183426e-12,21724.23,False,True,9.986229536959025,0,18
135,PAYMENT,28829.6,C669015602,11622.0,0.0,M1914353903,0.0,0.0,0,0,-11622.0,0.0,17207.6,28829.6,False,True,10.269192602070415,5,15
136,PAYMENT,6193.87,C651091476,0.0,0.0,M570296865,0.0,0.0,0,0,0.0,0.0,6193.87,6193.87,True,True,8.731476809178009,5,16
400,PAYMENT,7878.56,C843076192,102738.0,94859.44,M1503321197,0.0,0.0,0,0,-7878.559999999998,0.0,0.0,7878.56,False,True,8.972027343729499,16,16
286,CASH_OUT,115204.19,C1174743769,0.0,0.0,C2075845599,1218722.47,1333926.66,0,0,0.0,115204.18999999994,115204.19,0.0,True,False,11.654470078312446,11,22
