feature,importance
balanceDeltaOrig,0.3575847
newbalanceOrig,0.30682775
errorBalanceOrig,0.26847416
amount,0.0221516
isFlaggedFraud,0.017743945
isOrigZeroBalance,0.012025048
type_CASH_OUT,0.004102797
isDestZeroBalance,0.0030528745
errorBalanceDest,0.0022750578
oldbalanceDest,0.0014467336
transactionDay,0.0008112138
type_PAYMENT,0.0006841544
newbalanceDest,0.00066609686
oldbalanceOrg,0.00047659857
balanceDeltaDest,0.00041726773
type_TRANSFER,0.00041608923
logAmount,0.0003588438
transactionHour,0.00022692133
step,0.00022284487
type_DEBIT,3.531894e-05
type_CASH_IN,0.0
